0,1,2,3,4
0.7005,0.8935,0.8255,0.8475,0.9305
0.917,0.968,0.927,0.959,0.947
0.967,0.978,0.97,0.9835,0.9285
0.929,0.966,0.965,0.98,0.9725
0.9515,0.9685,0.9495,0.9815,0.9725
0.977,0.984,0.99,0.983,0.971
0.978,0.9845,0.987,0.982,0.9875
0.975,0.9715,0.9795,0.9945,0.9835
0.978,0.979,0.9955,0.9725,0.989
0.9795,0.9845,0.8645,0.977,0.9915
0.9835,0.9925,0.964,0.889,0.9865
0.9835,0.9925,0.9905,0.933,0.996
0.9855,0.9915,0.978,0.963,0.9955
0.988,0.9935,0.9235,0.9815,0.9835
0.9935,0.989,0.9935,0.9855,0.9915
0.9745,0.989,0.9905,0.9675,0.993
0.976,0.9905,0.9845,0.981,0.995
0.976,0.984,0.9885,0.9795,0.988
0.964,0.987,0.9885,0.9765,0.9945
0.9805,0.9765,0.9925,0.9705,0.9915
0.981,0.987,0.985,0.9725,0.9925
0.955,0.989,0.989,0.983,0.985
0.967,0.9815,0.948,0.9835,0.993
0.9665,0.986,0.987,0.9775,0.9825
0.977,0.9895,0.9845,0.97,0.9905
0.963,0.995,0.99,0.9735,0.977
0.976,0.9875,0.9895,0.983,0.9915
0.9615,0.9915,0.989,0.9885,0.988
0.972,0.993,0.9765,0.9735,0.986
0.972,0.988,0.984,0.9895,0.9825
0.975,0.9955,0.991,0.986,0.9805
0.972,0.9915,0.979,0.984,0.983
0.942,0.9915,0.9925,0.99,0.983
0.9645,0.987,0.9875,0.9875,0.979
0.9695,0.9905,0.9795,0.981,0.985
0.985,0.989,0.9785,0.993,0.9835
0.984,0.9935,0.99,0.991,0.9675
0.9785,0.977,0.988,0.9935,0.969
0.9555,0.9825,0.9775,0.9915,0.9725
0.9755,0.9845,0.983,0.9945,0.9725
0.97,0.988,0.95,0.9935,0.9735
0.9835,0.988,0.96,0.9875,0.965
0.982,0.994,0.961,0.9935,0.955
0.991,0.959,0.987,0.99,0.959
0.9705,0.9845,0.966,0.993,0.939
0.9745,0.963,0.9855,0.9915,0.954
0.9765,0.987,0.989,0.993,0.9755
0.9925,0.975,0.9705,0.99,0.97
0.9855,0.9215,0.9735,0.995,0.96
0.9875,0.929,0.948,0.9925,0.9695
