0,1,2,3,4
0.502,0.517,0.4965,0.504,0.513
0.503,0.522,0.498,0.4925,0.509
0.516,0.516,0.4965,0.521,0.5045
0.491,0.4955,0.496,0.5125,0.498
0.509,0.529,0.52,0.504,0.509
0.49,0.5355,0.522,0.503,0.5
0.492,0.5345,0.5345,0.5095,0.518
0.516,0.544,0.5355,0.519,0.5235
0.5005,0.558,0.537,0.517,0.5275
0.5025,0.555,0.556,0.5155,0.5165
0.5155,0.5605,0.5505,0.522,0.5115
0.528,0.5725,0.5885,0.527,0.5075
0.526,0.5675,0.574,0.533,0.521
0.515,0.5665,0.5915,0.515,0.527
0.5005,0.5655,0.59,0.527,0.5185
0.511,0.567,0.5735,0.5265,0.5165
0.5205,0.565,0.5885,0.524,0.5305
0.5285,0.5715,0.593,0.534,0.53
0.5095,0.571,0.6135,0.5185,0.539
0.5145,0.5825,0.616,0.5155,0.536
0.515,0.58,0.5595,0.5195,0.535
0.517,0.5885,0.554,0.52,0.552
0.5265,0.5875,0.559,0.5255,0.527
0.534,0.583,0.831,0.5275,0.551
0.536,0.5945,0.839,0.534,0.553
0.534,0.5865,0.5325,0.5165,0.524
0.5195,0.5865,0.8085,0.535,0.533
0.5345,0.5925,0.7705,0.5235,0.5395
0.531,0.6,0.549,0.517,0.5335
0.534,0.5995,0.8515,0.5305,0.536
0.5285,0.596,0.876,0.5295,0.536
0.524,0.6,0.8345,0.525,0.5295
0.526,0.5885,0.839,0.5275,0.5305
0.527,0.5925,0.57,0.5385,0.54
0.532,0.6015,0.553,0.52,0.54
0.5415,0.5925,0.5745,0.531,0.537
0.5365,0.627,0.8465,0.5325,0.5345
0.529,0.6135,0.769,0.521,0.552
0.527,0.6235,0.8115,0.5235,0.5385
0.5395,0.6145,0.782,0.52,0.546
0.538,0.611,0.5555,0.5255,0.5355
0.5335,0.604,0.711,0.529,0.547
0.543,0.6145,0.8465,0.514,0.543
0.532,0.6265,0.8165,0.5155,0.546
0.5255,0.631,0.556,0.527,0.55
0.54,0.64,0.835,0.5355,0.5465
0.54,0.6885,0.552,0.521,0.539
0.541,0.713,0.81,0.5265,0.5435
0.548,0.763,0.8455,0.524,0.549
0.5425,0.7885,0.744,0.529,0.5475
