0,1,2,3,4
0.5,0.507,0.499,0.5025,0.5085
0.512,0.496,0.5085,0.4905,0.4995
0.4985,0.494,0.521,0.5045,0.504
0.5075,0.4945,0.5015,0.4995,0.4955
0.496,0.5075,0.515,0.4945,0.5
0.486,0.486,0.4975,0.4975,0.5125
0.4905,0.49,0.493,0.5,0.48
0.512,0.498,0.499,0.502,0.51
0.495,0.504,0.501,0.518,0.506
0.4885,0.4945,0.51,0.5015,0.511
0.496,0.4855,0.5135,0.495,0.5075
0.4985,0.498,0.4995,0.4915,0.5185
0.498,0.4945,0.5165,0.5175,0.498
0.505,0.4845,0.513,0.5105,0.4935
0.4955,0.486,0.51,0.489,0.503
0.5005,0.49,0.5285,0.5015,0.513
0.492,0.507,0.51,0.4985,0.508
0.4945,0.502,0.5015,0.5055,0.513
0.49,0.5005,0.523,0.497,0.5145
0.498,0.4895,0.527,0.4785,0.507
0.503,0.4945,0.5155,0.49,0.507
0.499,0.503,0.5155,0.5085,0.5115
0.4955,0.488,0.5095,0.5075,0.512
0.4985,0.4975,0.5075,0.498,0.5
0.5155,0.4915,0.5155,0.4935,0.513
0.51,0.5,0.52,0.504,0.516
0.489,0.508,0.5185,0.5145,0.511
0.502,0.5035,0.516,0.507,0.515
0.512,0.498,0.507,0.503,0.5095
0.511,0.4885,0.52,0.5115,0.5155
0.5065,0.5125,0.512,0.4995,0.516
0.513,0.5005,0.4965,0.493,0.524
0.4875,0.5125,0.514,0.4925,0.4975
0.5045,0.509,0.503,0.501,0.517
0.501,0.4915,0.5215,0.492,0.5075
0.502,0.507,0.516,0.5095,0.521
0.4945,0.5055,0.5235,0.5175,0.529
0.5205,0.5165,0.524,0.4865,0.5225
0.4995,0.4935,0.5305,0.5015,0.505
0.5085,0.509,0.5165,0.496,0.521
0.501,0.521,0.525,0.5015,0.521
0.52,0.511,0.5125,0.516,0.5095
0.5005,0.5125,0.51,0.513,0.5005
0.5105,0.503,0.52,0.51,0.519
0.486,0.5085,0.509,0.4995,0.5155
0.4915,0.4945,0.5145,0.5125,0.508
0.4935,0.497,0.5115,0.5045,0.501
0.4835,0.5125,0.53,0.5175,0.502
0.5125,0.5145,0.5315,0.4975,0.516
0.505,0.5015,0.5255,0.493,0.517
