0,1,2,3,4
0.5233,0.5194,0.5214,0.5127,0.5141
0.8144,0.7656,0.7953,0.7736,0.7969
0.9071,0.901,0.9138,0.8935,0.8588
0.9383,0.9197,0.9205,0.9339,0.9103
0.9385,0.9374,0.9329,0.9353,0.9248
0.944,0.9356,0.9359,0.9373,0.9308
0.9424,0.9386,0.9346,0.9404,0.9312
0.9381,0.9399,0.9296,0.9364,0.9329
0.9373,0.942,0.9324,0.9321,0.9345
0.944,0.9424,0.9381,0.9354,0.9405
0.9374,0.9362,0.939,0.9403,0.9417
0.9362,0.9398,0.943,0.9384,0.9283
0.9428,0.9371,0.9442,0.9377,0.9386
0.9302,0.9337,0.9389,0.9373,0.9379
0.9384,0.9383,0.9405,0.937,0.9321
0.9349,0.9426,0.9348,0.9373,0.9406
0.9388,0.9395,0.9349,0.9401,0.9344
0.9299,0.9384,0.9334,0.9375,0.9425
0.9395,0.9349,0.9412,0.9363,0.9402
0.9361,0.9429,0.9353,0.9388,0.9416
0.9361,0.9389,0.9391,0.9309,0.9368
0.9363,0.9387,0.9359,0.9385,0.9364
0.9367,0.9394,0.9275,0.9372,0.9324
0.9328,0.9408,0.9331,0.9363,0.9323
0.9389,0.9417,0.9335,0.9402,0.9333
0.9392,0.9409,0.9337,0.9336,0.9397
0.9375,0.9412,0.9343,0.9416,0.9388
0.932,0.9337,0.9367,0.9377,0.9363
0.9353,0.9354,0.9311,0.93,0.9339
0.9377,0.9395,0.9316,0.923,0.9296
0.9321,0.9342,0.9223,0.926,0.9386
0.9344,0.9278,0.9359,0.9346,0.9315
0.9337,0.9314,0.9352,0.9341,0.9341
0.9289,0.935,0.9353,0.9314,0.9356
0.9331,0.9347,0.9363,0.9348,0.9364
0.934,0.9348,0.9429,0.9394,0.9328
0.9391,0.9262,0.9325,0.9354,0.9334
0.9377,0.9303,0.934,0.9304,0.9293
0.9344,0.9341,0.9395,0.9256,0.9356
0.9332,0.9327,0.9421,0.9321,0.9337
0.9372,0.939,0.9296,0.9339,0.9396
0.9384,0.9388,0.9321,0.9295,0.9339
0.9425,0.9374,0.922,0.9298,0.9328
0.9323,0.9355,0.9321,0.934,0.9323
0.9348,0.9357,0.9324,0.9316,0.9367
0.9331,0.9326,0.9234,0.9224,0.9347
0.9378,0.9312,0.9276,0.9298,0.9359
0.9349,0.9389,0.9322,0.9255,0.9323
0.9353,0.9329,0.9382,0.9285,0.9286
0.9289,0.9324,0.9358,0.9342,0.936
