0,1,2,3,4
0.5055,0.5012,0.5086,0.502,0.4965
0.5046,0.5006,0.5187,0.5041,0.5076
0.5163,0.5123,0.5255,0.5192,0.507
0.5167,0.5079,0.5766,0.5204,0.5192
0.547,0.5161,0.6386,0.5301,0.5155
0.6208,0.5294,0.7063,0.5951,0.5412
0.6496,0.5523,0.7084,0.5971,0.5994
0.6602,0.5845,0.7603,0.6855,0.5979
0.7053,0.5855,0.7908,0.6387,0.6824
0.7638,0.6295,0.7942,0.6735,0.7124
0.7619,0.6412,0.7481,0.6875,0.7584
0.7618,0.7079,0.7627,0.6994,0.7674
0.7622,0.7187,0.8217,0.7186,0.8285
0.7803,0.6942,0.8203,0.7353,0.8195
0.8269,0.7532,0.8486,0.7716,0.8148
0.8156,0.7495,0.8298,0.7248,0.7806
0.8347,0.7751,0.8771,0.7424,0.7562
0.8807,0.855,0.8814,0.7909,0.8047
0.7803,0.8969,0.8712,0.7861,0.7737
0.842,0.8519,0.885,0.7803,0.8755
0.8755,0.8629,0.8931,0.8256,0.8982
0.9221,0.8571,0.8863,0.8739,0.8729
0.8873,0.8557,0.8946,0.8944,0.8521
0.8714,0.8627,0.8914,0.8677,0.8764
0.8822,0.8479,0.9019,0.8474,0.8426
0.8767,0.8746,0.9122,0.885,0.8539
0.8931,0.9037,0.9122,0.8229,0.8908
0.878,0.8901,0.92,0.8555,0.8889
0.8951,0.8853,0.8732,0.8245,0.9046
0.9152,0.9045,0.8694,0.8388,0.8922
0.9212,0.9026,0.8633,0.8868,0.923
0.9356,0.9164,0.8801,0.8921,0.9255
0.9108,0.9094,0.8866,0.8838,0.8307
0.9397,0.9,0.8879,0.8921,0.9157
0.9239,0.8865,0.878,0.9163,0.9009
0.9287,0.8904,0.8913,0.8785,0.9306
0.9145,0.8964,0.9018,0.8931,0.9227
0.9393,0.9032,0.8689,0.9234,0.9057
0.9276,0.8864,0.887,0.8771,0.9162
0.9218,0.916,0.8853,0.9019,0.913
0.9403,0.9058,0.8764,0.9076,0.9173
0.9262,0.8827,0.8909,0.8988,0.9209
0.9208,0.8695,0.8882,0.8885,0.8851
0.93,0.9119,0.9083,0.8925,0.9071
0.9201,0.9347,0.9046,0.8454,0.9092
0.9086,0.9128,0.9189,0.8579,0.8971
0.9204,0.9338,0.8751,0.9041,0.9149
0.9289,0.9376,0.902,0.9255,0.8705
0.9487,0.9246,0.9046,0.919,0.9038
0.9432,0.906,0.8734,0.9135,0.8986
