0,1,2,3,4
0.511,0.516,0.517,0.528,0.526
0.5585,0.546,0.5505,0.56,0.529
0.6155,0.558,0.576,0.5925,0.569
0.6105,0.626,0.561,0.603,0.559
0.5985,0.7205,0.579,0.683,0.621
0.623,0.6855,0.613,0.8515,0.717
0.6785,0.71,0.6235,0.8855,0.7395
0.6605,0.7255,0.6135,0.882,0.686
0.722,0.7915,0.6415,0.932,0.7235
0.606,0.8235,0.6385,0.9515,0.785
0.638,0.8225,0.6545,0.974,0.825
0.647,0.7745,0.6515,0.7505,0.8765
0.6745,0.8565,0.642,0.9655,0.939
0.7115,0.8645,0.6445,0.9535,0.8885
0.8165,0.86,0.6505,0.8595,0.9685
0.739,0.805,0.7205,0.6805,0.9155
0.67,0.807,0.679,0.8855,0.895
0.857,0.7065,0.8355,0.9025,0.926
0.736,0.8615,0.732,0.882,0.935
0.765,0.816,0.714,0.876,0.849
0.7955,0.781,0.737,0.9065,0.886
0.7545,0.7375,0.79,0.88,0.8455
0.8475,0.857,0.7735,0.933,0.7585
0.678,0.86,0.802,0.914,0.787
0.83,0.8815,0.764,0.9245,0.8065
0.849,0.859,0.7975,0.9235,0.8395
0.806,0.9265,0.8895,0.7425,0.844
0.8215,0.9015,0.8925,0.9085,0.905
0.878,0.895,0.8845,0.9335,0.9065
0.731,0.8825,0.934,0.9345,0.862
0.796,0.876,0.9435,0.983,0.9535
0.8405,0.9535,0.8045,0.9795,0.9565
0.8955,0.976,0.882,0.9335,0.932
0.9265,0.9655,0.892,0.9565,0.9725
0.9225,0.877,0.8975,0.8715,0.9375
0.9245,0.9755,0.9275,0.968,0.958
0.919,0.9815,0.9055,0.9815,0.9185
0.911,0.9905,0.9415,0.9975,0.9615
0.906,0.992,0.94,0.999,0.961
0.7955,0.9925,0.8625,0.9865,0.964
0.9505,0.9945,0.86,0.9685,0.9765
0.9535,0.987,0.799,0.9395,0.979
0.945,0.9945,0.8395,0.9045,0.989
0.9395,0.98,0.807,0.816,0.987
0.9865,0.9805,0.819,0.9375,0.9825
0.988,0.988,0.84,0.8755,0.9835
0.957,0.9825,0.9235,0.9535,0.973
0.9835,0.964,0.936,0.9875,0.9715
0.97,0.9805,0.8475,0.9665,0.9845
0.8735,0.9635,0.966,0.981,0.976
