0,1,2,3,4
0.497,0.5125,0.4985,0.478,0.5035
0.506,0.5055,0.4935,0.5065,0.5255
0.4995,0.525,0.4795,0.4855,0.5085
0.497,0.5065,0.4965,0.4875,0.5055
0.5135,0.5175,0.5075,0.4995,0.534
0.5145,0.5205,0.503,0.4935,0.5285
0.507,0.519,0.5165,0.5155,0.5295
0.5325,0.506,0.5145,0.51,0.552
0.5365,0.5075,0.5155,0.5035,0.552
0.5495,0.527,0.5365,0.5155,0.58
0.5695,0.5295,0.5165,0.5235,0.5765
0.561,0.526,0.517,0.5325,0.615
0.577,0.538,0.5165,0.5575,0.6095
0.5875,0.5345,0.541,0.5945,0.7175
0.6065,0.536,0.536,0.6355,0.729
0.6235,0.5485,0.5435,0.662,0.7805
0.6525,0.5475,0.543,0.551,0.862
0.666,0.5425,0.541,0.569,0.615
0.673,0.5495,0.5465,0.563,0.9685
0.757,0.5885,0.5465,0.597,0.81
0.758,0.605,0.5555,0.649,0.7475
0.841,0.618,0.5645,0.6705,0.9645
0.7205,0.572,0.58,0.6585,0.861
0.665,0.626,0.605,0.6815,0.8305
0.651,0.639,0.631,0.655,0.9015
0.726,0.567,0.66,0.8065,0.889
0.8155,0.8635,0.8395,0.622,0.77
0.813,0.8645,0.5915,0.6325,0.932
0.778,0.869,0.64,0.6355,0.81
0.7,0.875,0.6435,0.628,0.9265
0.756,0.8655,0.641,0.6315,0.8425
0.7785,0.872,0.605,0.6355,0.9275
0.8785,0.862,0.6685,0.5725,0.7655
0.8555,0.868,0.671,0.634,0.8965
0.703,0.872,0.6715,0.59,0.8355
0.7095,0.873,0.6825,0.62,0.9845
0.7265,0.8625,0.6825,0.6135,0.833
0.887,0.8715,0.67,0.5675,0.8645
0.84,0.88,0.6805,0.6225,0.9885
0.912,0.871,0.5835,0.632,0.983
0.8485,0.873,0.6305,0.6435,0.984
0.872,0.871,0.718,0.648,0.9865
0.875,0.868,0.7455,0.6865,0.8305
0.8875,0.834,0.751,0.7075,0.941
0.9175,0.854,0.788,0.709,0.9665
0.952,0.8605,0.8445,0.719,0.947
0.929,0.871,0.763,0.7775,0.9265
0.9675,0.665,0.8965,0.599,0.939
0.957,0.866,0.682,0.5275,0.9375
0.9525,0.851,0.734,0.5565,0.9445
