0,1,2,3,4
0.4975,0.496,0.4965,0.509,0.5145
0.5135,0.5,0.524,0.5005,0.546
0.5225,0.5075,0.5135,0.521,0.5425
0.634,0.5205,0.5045,0.5175,0.527
0.686,0.497,0.528,0.5215,0.537
0.708,0.519,0.533,0.5315,0.557
0.7115,0.5185,0.5245,0.523,0.556
0.731,0.5175,0.5265,0.526,0.5515
0.7385,0.51,0.543,0.5305,0.559
0.757,0.5265,0.5215,0.513,0.5575
0.747,0.5315,0.5015,0.5455,0.5605
0.745,0.5325,0.523,0.5225,0.568
0.752,0.537,0.5115,0.5225,0.5575
0.741,0.526,0.5185,0.5265,0.569
0.765,0.526,0.5125,0.53,0.5765
0.7575,0.537,0.525,0.5395,0.5615
0.781,0.557,0.5225,0.5365,0.5655
0.785,0.53,0.529,0.546,0.5675
0.782,0.5395,0.5185,0.5395,0.571
0.7765,0.5195,0.5235,0.5225,0.564
0.7765,0.53,0.514,0.5265,0.566
0.782,0.5375,0.5155,0.5265,0.5695
0.786,0.5445,0.5135,0.534,0.5445
0.788,0.5415,0.5335,0.5405,0.5595
0.7755,0.5405,0.519,0.53,0.562
0.793,0.522,0.5285,0.5265,0.571
0.79,0.5375,0.5275,0.5185,0.5615
0.8015,0.514,0.531,0.519,0.5675
0.799,0.531,0.5165,0.539,0.5645
0.8105,0.5425,0.5295,0.5265,0.57
0.786,0.535,0.543,0.5245,0.555
0.805,0.5395,0.532,0.547,0.5685
0.81,0.514,0.5315,0.531,0.5695
0.806,0.5375,0.5365,0.545,0.578
0.801,0.5515,0.545,0.5185,0.579
0.817,0.5345,0.528,0.544,0.566
0.824,0.552,0.523,0.5355,0.5765
0.8225,0.5495,0.52,0.5335,0.5785
0.8285,0.55,0.5335,0.5515,0.5635
0.822,0.535,0.53,0.5415,0.5665
0.8125,0.5395,0.5325,0.536,0.565
0.8225,0.518,0.5345,0.5235,0.5705
0.768,0.5295,0.534,0.5295,0.579
0.8155,0.5355,0.5445,0.53,0.5675
0.821,0.5415,0.5205,0.528,0.5805
0.823,0.5435,0.532,0.536,0.564
0.814,0.543,0.542,0.5245,0.569
0.8115,0.5495,0.526,0.532,0.5815
0.8215,0.5475,0.537,0.5465,0.568
0.8155,0.5585,0.529,0.5315,0.5715
