0,1,2,3,4
0.514,0.5075,0.496,0.513,0.513
0.505,0.5045,0.518,0.5235,0.5045
0.5,0.517,0.523,0.518,0.5075
0.5,0.532,0.525,0.5295,0.5125
0.5115,0.576,0.5155,0.531,0.512
0.502,0.6095,0.5085,0.547,0.535
0.5085,0.629,0.517,0.545,0.5245
0.5265,0.6445,0.5265,0.595,0.534
0.5125,0.6555,0.5215,0.6715,0.5275
0.519,0.5365,0.5365,0.714,0.5295
0.5165,0.7275,0.5415,0.719,0.5515
0.5335,0.582,0.5425,0.7915,0.547
0.5285,0.7815,0.5605,0.8435,0.556
0.5235,0.784,0.5445,0.771,0.5495
0.5305,0.8155,0.5475,0.8915,0.555
0.532,0.834,0.5525,0.726,0.56
0.526,0.8495,0.538,0.8985,0.5685
0.525,0.844,0.5475,0.7525,0.579
0.5215,0.8485,0.5485,0.9425,0.5945
0.5335,0.855,0.5325,0.9375,0.619
0.525,0.8385,0.547,0.923,0.6035
0.5345,0.823,0.5445,0.9825,0.565
0.529,0.8085,0.544,0.886,0.6185
0.5385,0.529,0.5545,0.8445,0.614
0.5325,0.8575,0.5565,0.8645,0.57
0.528,0.861,0.549,0.905,0.6
0.531,0.857,0.5485,0.7015,0.6135
0.5245,0.5645,0.5405,0.672,0.6285
0.526,0.848,0.5355,0.6825,0.6325
0.53,0.509,0.555,0.68,0.567
0.5255,0.842,0.5645,0.766,0.62
0.5235,0.841,0.551,0.788,0.5965
0.5225,0.5745,0.5505,0.766,0.6355
0.532,0.766,0.5545,0.745,0.68
0.524,0.5125,0.5415,0.8065,0.6545
0.5265,0.8445,0.552,0.8315,0.7715
0.5275,0.613,0.558,0.8125,0.574
0.5255,0.8465,0.5475,0.8885,0.5575
0.5265,0.509,0.563,0.837,0.8555
0.5325,0.7555,0.5645,0.8795,0.871
0.5365,0.51,0.5295,0.8815,0.8555
0.5315,0.8395,0.563,0.9335,0.8565
0.541,0.7625,0.5545,0.845,0.558
0.5335,0.87,0.553,0.9355,0.7515
0.526,0.5695,0.548,0.902,0.7375
0.526,0.8415,0.561,0.9545,0.8375
0.5235,0.509,0.561,0.926,0.835
0.543,0.8375,0.555,0.932,0.8645
0.529,0.856,0.5475,0.886,0.8755
0.534,0.8565,0.561,0.92,0.668
