0,1,2,3,4
0.492,0.4865,0.5,0.4845,0.4955
0.536,0.521,0.509,0.495,0.5055
0.547,0.5335,0.52,0.511,0.531
0.555,0.591,0.544,0.6415,0.548
0.7065,0.673,0.533,0.599,0.538
0.8725,0.699,0.5575,0.671,0.534
0.9425,0.7295,0.564,0.629,0.543
0.8215,0.71,0.6365,0.7385,0.5545
0.798,0.726,0.687,0.832,0.5865
0.9035,0.7945,0.6975,0.687,0.57
0.932,0.7515,0.7765,0.6605,0.5765
0.7865,0.773,0.6635,0.821,0.6245
0.6805,0.8195,0.837,0.9085,0.63
0.9055,0.7705,0.8195,0.91,0.6245
0.9075,0.8095,0.8515,0.9365,0.635
0.9495,0.8,0.722,0.949,0.646
0.8195,0.806,0.9215,0.945,0.662
0.647,0.7995,0.91,0.924,0.6825
0.734,0.8425,0.889,0.9535,0.6865
0.6545,0.83,0.6165,0.9495,0.706
0.9395,0.835,0.809,0.9465,0.6675
0.666,0.858,0.6355,0.8835,0.616
0.9385,0.8545,0.832,0.9505,0.742
0.655,0.8725,0.804,0.956,0.5585
0.949,0.8705,0.707,0.953,0.6395
0.865,0.8745,0.793,0.9585,0.705
0.9525,0.854,0.815,0.953,0.8565
0.949,0.8815,0.826,0.9625,0.715
0.843,0.835,0.8485,0.959,0.83
0.952,0.8465,0.82,0.957,0.807
0.6535,0.8255,0.79,0.958,0.8465
0.9505,0.855,0.826,0.9575,0.695
0.929,0.816,0.7995,0.9615,0.7045
0.66,0.8625,0.8365,0.955,0.7405
0.852,0.7715,0.7795,0.942,0.5785
0.9305,0.909,0.812,0.9605,0.8565
0.928,0.928,0.8305,0.963,0.7285
0.9335,0.904,0.8025,0.955,0.848
0.92,0.9105,0.785,0.912,0.8295
0.943,0.8295,0.805,0.941,0.576
0.946,0.9225,0.7995,0.9615,0.854
0.935,0.884,0.799,0.9505,0.854
0.9485,0.908,0.8005,0.951,0.7085
0.7985,0.8865,0.809,0.957,0.5945
0.94,0.9295,0.785,0.958,0.6855
0.9445,0.935,0.796,0.949,0.837
0.953,0.839,0.7835,0.91,0.7305
0.833,0.922,0.784,0.957,0.828
0.714,0.9315,0.791,0.9635,0.8565
0.8565,0.8555,0.7625,0.961,0.8475
