0,1,2,3,4
0.998,0.987,0.9935,0.996,0.994
0.9975,0.995,0.997,0.997,0.997
0.998,0.993,0.991,0.9895,0.986
0.995,0.9955,0.9855,0.992,0.996
0.992,0.9855,0.9865,0.9905,1.0
0.9865,0.994,0.9765,0.9825,0.9965
0.9895,0.9845,0.9525,0.983,0.996
0.997,0.988,0.917,0.991,0.9875
0.9925,0.994,0.9725,0.939,0.9855
0.9905,0.9785,0.9925,0.9925,0.995
0.9985,0.9805,0.99,0.934,0.996
0.996,0.9815,0.9855,0.9675,0.9985
0.9945,0.993,0.9665,0.9365,0.9985
0.989,0.997,0.9905,0.9895,0.9865
1.0,0.9615,0.9995,0.9505,0.945
0.9755,0.968,0.982,0.917,0.9995
0.9935,0.9865,0.9885,0.979,0.9985
0.992,0.95,0.9935,0.9645,0.9975
0.9955,0.9985,0.9975,0.9915,0.9935
0.9745,0.991,0.998,0.973,0.8755
0.96,0.99,1.0,0.9615,0.971
0.9855,0.9525,0.9985,0.9855,0.981
0.994,0.9915,1.0,0.959,0.9895
0.956,0.9905,0.879,0.997,0.9895
0.971,0.9375,0.993,0.984,0.985
0.9915,0.974,0.9895,0.975,0.999
0.998,0.9985,0.972,0.972,0.976
0.985,0.976,0.9305,0.9575,0.989
1.0,0.997,0.987,0.9745,0.993
0.998,0.9995,0.991,0.962,0.9895
0.9995,0.99,0.9905,0.9965,0.991
0.9695,0.9975,0.949,0.9985,0.9875
0.972,0.9885,0.9975,0.9915,1.0
0.997,0.9755,1.0,0.9905,0.937
0.9965,0.999,1.0,0.988,0.972
0.9955,0.99,1.0,0.9945,0.9715
0.9935,0.9875,0.998,0.9345,0.9645
0.9915,0.9995,0.9965,0.92,0.9495
0.9855,0.9815,0.997,0.998,0.9735
0.999,0.99,0.97,0.963,0.881
0.9965,0.9805,1.0,0.9785,0.961
0.975,0.9935,0.9945,0.9505,0.9975
0.994,0.975,0.995,1.0,0.8965
1.0,0.9995,1.0,0.999,0.953
0.954,0.9995,0.9905,1.0,0.974
0.9835,0.9975,0.976,0.9965,0.9965
0.998,0.974,0.9945,0.994,0.9485
0.9905,0.9975,1.0,0.9995,0.9195
0.999,0.9825,0.918,0.999,0.9625
0.9985,0.989,0.919,0.997,0.995
