0,1,2,3,4
1.0,0.9865,0.9945,0.998,0.995
1.0,0.998,0.993,1.0,1.0
1.0,0.994,0.998,0.9985,0.9955
1.0,0.9965,0.9985,1.0,1.0
0.9975,0.999,0.999,1.0,1.0
0.9965,0.9955,0.9995,0.9985,0.9995
0.9985,0.996,0.997,0.9985,0.9995
0.9975,0.997,0.9995,0.9925,0.9995
0.9935,0.999,0.999,0.997,1.0
0.995,0.999,0.9985,0.998,0.9995
0.998,0.998,0.9965,0.999,0.999
0.997,0.9975,0.997,0.9965,0.9985
0.994,0.998,0.998,0.9995,0.999
0.9945,0.9975,1.0,1.0,0.9995
0.9995,0.999,0.997,0.998,0.9995
0.999,0.9965,0.997,0.9985,1.0
0.9995,0.995,0.9985,0.9965,0.997
0.999,0.997,0.995,0.9965,0.999
0.9985,0.9945,0.998,0.9995,0.998
0.9995,0.9965,0.9955,1.0,0.996
0.9995,0.999,0.9995,1.0,0.997
0.9995,0.9975,0.999,0.9975,0.981
0.9985,0.9975,0.999,0.999,0.995
1.0,0.997,0.997,0.9975,0.9975
0.9985,0.9975,0.998,0.9975,0.9985
1.0,0.9985,0.999,0.9985,0.996
1.0,0.995,0.9995,0.9985,0.9965
0.9985,0.997,0.996,0.9995,0.9965
1.0,0.9965,0.9975,1.0,0.999
1.0,0.998,0.998,1.0,0.9955
1.0,0.997,0.997,0.9975,0.997
0.9995,0.9915,0.9985,0.998,0.9955
0.9985,0.995,0.999,0.9995,0.998
0.999,0.9955,0.997,0.9985,0.9965
0.9985,0.997,0.9975,0.997,0.994
0.9995,0.997,0.997,0.9995,0.9985
0.996,0.9965,0.9995,0.9985,0.994
0.999,0.99,0.999,0.9985,0.996
0.9995,0.996,0.997,0.9985,0.994
0.9985,0.9945,0.9945,0.998,0.9975
0.9995,0.997,0.997,0.998,0.996
0.9985,0.993,0.995,0.9985,0.9975
0.9995,0.9985,0.9985,0.9995,0.9975
0.999,0.9985,0.999,0.993,0.994
0.9995,0.987,0.991,0.9995,0.9935
0.9985,0.9955,0.9955,0.995,0.9985
1.0,0.9975,0.9945,0.999,0.993
1.0,0.996,0.9955,0.999,0.996
0.9985,0.9965,0.997,0.9995,0.997
0.9955,0.9755,0.997,0.9995,0.9985
