0,1,2,3,4
0.676,0.7275,0.863,0.7915,0.9015
0.836,0.8065,0.916,0.8885,0.9615
0.788,0.8055,0.9265,0.9175,0.9755
0.856,0.9135,0.9735,0.944,0.984
0.8695,0.92,0.9765,0.7965,0.9885
0.9365,0.925,0.965,0.905,0.9845
0.9005,0.936,0.9585,0.9285,0.9765
0.9215,0.893,0.964,0.9535,0.987
0.9365,0.9295,0.9795,0.931,0.983
0.9245,0.8865,0.969,0.9505,0.9825
0.9445,0.914,0.9835,0.962,0.983
0.877,0.893,0.9845,0.878,0.9835
0.936,0.9355,0.984,0.7225,0.9845
0.942,0.9435,0.947,0.899,0.9865
0.9415,0.886,0.984,0.969,0.9785
0.893,0.9275,0.9895,0.9145,0.976
0.927,0.94,0.9585,0.94,0.979
0.9455,0.938,0.9765,0.949,0.9715
0.9425,0.9725,0.9875,0.832,0.9255
0.919,0.915,0.986,0.938,0.954
0.9175,0.9595,0.983,0.918,0.959
0.945,0.8775,0.973,0.9585,0.956
0.947,0.955,0.9805,0.8185,0.967
0.923,0.9155,0.9825,0.8465,0.9625
0.942,0.955,0.9825,0.9475,0.975
0.936,0.92,0.99,0.7635,0.974
0.9375,0.897,0.9255,0.7785,0.974
0.949,0.8475,0.9825,0.972,0.9605
0.924,0.8935,0.978,0.692,0.9705
0.9535,0.861,0.9735,0.873,0.9525
0.9395,0.8895,0.9845,0.9505,0.9805
0.908,0.906,0.9515,0.8025,0.9595
0.8825,0.761,0.9575,0.9585,0.968
0.936,0.869,0.9575,0.8145,0.939
0.9285,0.9015,0.9765,0.866,0.9715
0.874,0.926,0.983,0.864,0.9775
0.944,0.8805,0.9785,0.8865,0.972
0.9475,0.8945,0.969,0.968,0.973
0.9,0.9245,0.9765,0.8145,0.9005
0.9465,0.871,0.9665,0.912,0.9625
0.927,0.8865,0.98,0.9445,0.958
0.9215,0.91,0.9695,0.922,0.9815
0.9325,0.8245,0.9775,0.8685,0.9595
0.9335,0.8725,0.984,0.917,0.9585
0.9025,0.865,0.971,0.975,0.969
0.925,0.8475,0.9805,0.9045,0.967
0.9495,0.8215,0.954,0.957,0.898
0.921,0.877,0.955,0.9645,0.9635
0.94,0.8945,0.981,0.9575,0.9525
0.9315,0.809,0.9205,0.8185,0.9575
