0,1,2,3,4
0.5052,0.5056,0.499,0.5004,0.5061
0.5085,0.5067,0.5106,0.5137,0.503
0.5133,0.5095,0.5089,0.5184,0.5086
0.5078,0.5174,0.5102,0.5053,0.5193
0.5196,0.5112,0.526,0.5112,0.5163
0.5344,0.5319,0.5378,0.5183,0.5143
0.5606,0.5259,0.5386,0.5496,0.5203
0.5878,0.543,0.5611,0.5794,0.5213
0.6021,0.5764,0.5732,0.6171,0.5445
0.5789,0.5552,0.6061,0.5998,0.547
0.6237,0.5599,0.6688,0.6473,0.5912
0.6263,0.5644,0.6124,0.6645,0.6107
0.6295,0.6048,0.6286,0.7195,0.6205
0.6262,0.5738,0.694,0.7421,0.6367
0.6347,0.5941,0.6989,0.7024,0.6468
0.6953,0.6146,0.6624,0.722,0.679
0.662,0.6188,0.6082,0.7312,0.6508
0.6994,0.6712,0.7009,0.7267,0.6618
0.6758,0.6699,0.6997,0.7362,0.7048
0.6652,0.6536,0.675,0.7282,0.6773
0.6592,0.6948,0.7292,0.7463,0.6676
0.7104,0.672,0.7259,0.7562,0.65
0.7084,0.728,0.7341,0.701,0.6816
0.7309,0.7212,0.7364,0.7626,0.6614
0.7195,0.7163,0.7112,0.7684,0.7156
0.69,0.7412,0.7437,0.6459,0.6918
0.7306,0.7379,0.7497,0.6786,0.7037
0.6959,0.7562,0.7807,0.6919,0.7327
0.7147,0.7717,0.7613,0.7258,0.7062
0.7301,0.7261,0.7654,0.6382,0.7772
0.746,0.7707,0.7798,0.6975,0.7146
0.7622,0.7828,0.7882,0.6972,0.6765
0.7661,0.7681,0.7823,0.6796,0.7511
0.7488,0.7823,0.7931,0.7264,0.7564
0.7779,0.7586,0.8122,0.7313,0.7424
0.7575,0.7173,0.7789,0.7563,0.7705
0.7824,0.7509,0.7815,0.7318,0.7377
0.7511,0.7509,0.7786,0.7246,0.7601
0.7337,0.797,0.782,0.7561,0.7664
0.7589,0.7467,0.7914,0.7,0.8083
0.791,0.7645,0.798,0.7493,0.779
0.7996,0.7612,0.8038,0.7235,0.7831
0.7178,0.7882,0.7792,0.7213,0.7939
0.7541,0.7958,0.8277,0.7245,0.7975
0.7248,0.7666,0.7791,0.7534,0.7814
0.7552,0.7626,0.7714,0.7829,0.7797
0.772,0.7844,0.7807,0.7684,0.7826
0.7831,0.7569,0.8049,0.7946,0.8005
0.7786,0.7653,0.8104,0.7958,0.8207
0.7189,0.7722,0.7928,0.7645,0.7948
