0,1,2,3,4
0.5,0.4991,0.4921,0.4968,0.4963
0.5016,0.503,0.4985,0.4965,0.4995
0.4945,0.4965,0.4997,0.5035,0.5011
0.5049,0.5008,0.5028,0.5065,0.5063
0.4953,0.4962,0.502,0.4983,0.5003
0.4879,0.4994,0.5061,0.5028,0.5083
0.4932,0.4949,0.506,0.5046,0.5056
0.499,0.4957,0.4987,0.4962,0.5002
0.4974,0.5067,0.4972,0.5041,0.4999
0.4977,0.5034,0.501,0.4996,0.4958
0.4944,0.4923,0.5054,0.4997,0.4943
0.5037,0.4944,0.4985,0.4964,0.5075
0.501,0.4972,0.4959,0.4949,0.4975
0.5023,0.4944,0.5017,0.5047,0.4967
0.5065,0.4974,0.5014,0.4964,0.5035
0.5038,0.4988,0.4997,0.4997,0.5005
0.5024,0.4994,0.5002,0.5075,0.4994
0.4987,0.5014,0.4975,0.4995,0.4991
0.4901,0.5033,0.496,0.4985,0.4953
0.4961,0.4967,0.4937,0.5074,0.5004
0.4994,0.4972,0.4992,0.5053,0.4902
0.4992,0.5022,0.4921,0.5068,0.4957
0.4935,0.5077,0.5025,0.5005,0.4976
0.4949,0.5043,0.5022,0.5022,0.4935
0.4986,0.4947,0.5016,0.4966,0.5029
0.4995,0.4997,0.4994,0.4949,0.4899
0.502,0.4941,0.4999,0.5021,0.4987
0.496,0.5038,0.5005,0.5006,0.501
0.4982,0.4972,0.4947,0.5012,0.4954
0.4968,0.5016,0.4955,0.4949,0.4914
0.4984,0.492,0.5029,0.4957,0.4949
0.5008,0.4925,0.4947,0.5041,0.5032
0.4987,0.4974,0.4987,0.4943,0.4955
0.5001,0.5019,0.4961,0.4988,0.5014
0.4976,0.4974,0.5014,0.5016,0.5025
0.4916,0.5007,0.5074,0.5027,0.5051
0.5046,0.4981,0.4983,0.5006,0.497
0.4981,0.5028,0.5001,0.4975,0.4957
0.4958,0.4999,0.4961,0.4881,0.5015
0.498,0.5062,0.4954,0.4933,0.4992
0.5018,0.4944,0.4964,0.5004,0.4967
0.5042,0.4984,0.5021,0.5,0.503
0.5005,0.4973,0.4968,0.5055,0.4971
0.4942,0.4994,0.4975,0.4969,0.5009
0.4971,0.4982,0.5001,0.4983,0.4914
0.4891,0.4941,0.5031,0.4949,0.4939
0.5016,0.5015,0.4931,0.4982,0.5017
0.5016,0.5011,0.5004,0.5032,0.4976
0.5011,0.4981,0.4984,0.4966,0.4887
0.4941,0.4974,0.4979,0.4972,0.499
