0,1,2,3,4
0.5011,0.4956,0.5035,0.5032,0.5059
0.5035,0.4963,0.4999,0.503,0.5034
0.4981,0.5058,0.4974,0.4982,0.5001
0.503,0.5028,0.4985,0.5007,0.4996
0.4968,0.5098,0.4968,0.5064,0.4998
0.5047,0.5038,0.4989,0.5037,0.5044
0.5089,0.5018,0.5056,0.4986,0.502
0.507,0.4998,0.5022,0.5046,0.5026
0.4999,0.5063,0.5039,0.5031,0.5028
0.4976,0.5073,0.5016,0.5001,0.5014
0.5052,0.5006,0.4952,0.4966,0.4967
0.5008,0.5007,0.4999,0.5043,0.5002
0.5014,0.5014,0.495,0.509,0.501
0.4952,0.5059,0.5034,0.5029,0.5037
0.4969,0.5024,0.4982,0.509,0.5069
0.4972,0.505,0.5041,0.4982,0.4978
0.5042,0.5053,0.4991,0.5069,0.4965
0.507,0.4961,0.4967,0.5056,0.4992
0.5005,0.5044,0.5054,0.5071,0.4968
0.4992,0.5052,0.4984,0.5084,0.488
0.5047,0.4959,0.5026,0.4978,0.5045
0.502,0.5032,0.4962,0.4969,0.4923
0.5051,0.5046,0.5037,0.5075,0.5046
0.4961,0.506,0.4988,0.4997,0.5111
0.5049,0.5045,0.4918,0.5061,0.4965
0.5001,0.5002,0.4997,0.5036,0.4984
0.5101,0.507,0.5051,0.5066,0.4976
0.5066,0.5036,0.4984,0.4947,0.5061
0.5015,0.5056,0.4927,0.4984,0.5093
0.5085,0.5058,0.5002,0.5006,0.5032
0.5003,0.4955,0.5051,0.5046,0.4968
0.5024,0.5049,0.4973,0.5087,0.5087
0.5047,0.5032,0.4972,0.4991,0.4983
0.5006,0.5052,0.5011,0.5053,0.5029
0.5002,0.5041,0.499,0.4993,0.507
0.5059,0.4988,0.5037,0.5067,0.497
0.4984,0.5019,0.5002,0.5136,0.51
0.5017,0.5067,0.5002,0.5036,0.5051
0.4998,0.4977,0.5047,0.4991,0.5003
0.5043,0.4951,0.5078,0.5034,0.5043
0.5002,0.4985,0.4977,0.5072,0.5004
0.4996,0.5012,0.5039,0.5052,0.4945
0.4946,0.5024,0.4982,0.5015,0.5038
0.5052,0.5046,0.4986,0.5065,0.5036
0.4991,0.4966,0.5014,0.5011,0.4908
0.5013,0.4946,0.4987,0.4997,0.5039
0.4979,0.5049,0.5074,0.5025,0.5079
0.4993,0.4932,0.5019,0.5,0.5019
0.4929,0.5067,0.4997,0.4976,0.4954
0.4994,0.5039,0.5058,0.4964,0.5017
