0,1,2,3,4
0.5494,0.5298,0.5304,0.5349,0.5363
0.8872,0.8888,0.8597,0.9121,0.926
0.9653,0.9679,0.9576,0.9671,0.9517
0.9746,0.9793,0.9667,0.9632,0.9699
0.9778,0.9851,0.9819,0.973,0.9718
0.987,0.9797,0.9839,0.981,0.9706
0.9876,0.9726,0.9831,0.9828,0.9847
0.9859,0.9832,0.9868,0.987,0.9815
0.9874,0.9822,0.985,0.9842,0.9847
0.9844,0.9875,0.9826,0.9836,0.9844
0.9876,0.9863,0.986,0.9871,0.9863
0.9882,0.9866,0.9864,0.9821,0.9859
0.9848,0.9862,0.9877,0.9873,0.9881
0.9882,0.9875,0.982,0.9856,0.9877
0.9865,0.9861,0.9844,0.9857,0.9887
0.9879,0.9847,0.9869,0.9853,0.9859
0.988,0.9831,0.9888,0.9849,0.989
0.9888,0.9883,0.9875,0.9844,0.9882
0.9889,0.9865,0.9876,0.9854,0.9875
0.984,0.9856,0.9887,0.9871,0.9891
0.9874,0.9866,0.9894,0.9879,0.9889
0.9883,0.9867,0.9886,0.9867,0.9867
0.9888,0.9887,0.9893,0.9886,0.9878
0.9882,0.988,0.9872,0.9854,0.9861
0.9865,0.9869,0.989,0.9878,0.9875
0.9883,0.985,0.9848,0.9876,0.9889
0.9855,0.9877,0.9879,0.9884,0.9881
0.9866,0.9877,0.9882,0.9859,0.9876
0.9883,0.9875,0.9876,0.988,0.9871
0.9883,0.9884,0.9889,0.9882,0.986
0.987,0.988,0.9871,0.9857,0.9848
0.9869,0.988,0.9873,0.9867,0.988
0.9882,0.9831,0.9867,0.9867,0.9873
0.9875,0.9865,0.9882,0.9865,0.9833
0.9878,0.9873,0.9874,0.9867,0.9879
0.9866,0.9873,0.9883,0.9874,0.9866
0.9865,0.9874,0.9866,0.9881,0.9878
0.9883,0.9856,0.9858,0.9872,0.9867
0.9879,0.9864,0.987,0.9868,0.9879
0.9882,0.986,0.9874,0.9868,0.9832
0.9869,0.9863,0.9874,0.9885,0.9868
0.9881,0.9875,0.9872,0.9872,0.9884
0.9878,0.9864,0.987,0.9878,0.9856
0.9874,0.9852,0.9865,0.9878,0.9862
0.987,0.9886,0.9867,0.9888,0.9875
0.9868,0.9883,0.9878,0.9873,0.9875
0.9877,0.9879,0.9871,0.9889,0.9866
0.9877,0.9864,0.987,0.9893,0.9851
0.9877,0.9855,0.9879,0.9888,0.986
0.9839,0.984,0.9862,0.9882,0.9837
